"ERP System","Payment_Term","Text",					
"CUP","ZB67","dans les 40 jours 2 % d'escompte dans les 85 jours Net dû",								
"CUP","ZB73","dans les 90 jours Net dû dans les 8 jours 1 % d'escompte",								
"CUP","ZB75","dans les 8 jours 1 % d'escompte dans les 30 jours Net dû",								
"CUP","ZB76","dans les 16 jours 3 % d'escompte dans les 30 jours 2 % d'escompte",								
"CUP","ZB80","dans les 14 jours 0,5 % d'escompte dans les 30 jours Net dû",								
"CUP","ZB84","dans les 10 jours 4 % d'escompte dans les 30 jours 2 % d'escompte",								
"CUP","ZB88","dans les 30 jours 1 % d'escompte dans les 14 jours 3,5 % d'escompte",								
"CUP","ZB93","dans 14 jours 3,5 % d'escompte dans les 30 jours 2 % d'escompte",								
"CUP","ZB94","dans les 15 jours 1 % d'escompte dans les 30 jours Net dû",								
"CUP","ZB95","dans les 21 jours 2 % d'escompte dans les 30 jours Net dû",								
"CUP","ZINT","Avant le 5 du mois suivant 		 Net dû Payable immédiatement Net dû",						
"CUP","ZRD3","Payable immédiatement Net dû",								
"D35","0001","Dans 1 jour Net dû",								
"D35","0005","dans les 5 jours Net dû",								
"D35","0006","Paiement dû immédiatement",								
"D35","0007","Dans les 7 jours Net dû",								
"D35","0008","Dans les 8 jours Net dû",								
"D35","0010","Dans les 10 jours Net dû",								
"D35","0014","dans les 14 jours Net dû",								
"D35","0015","Net 15 jours",								
"D35","0020","dans les 20 jours Net dû",								
"D35","0021","Dans les 21 jours Net dû",								
"D35","0025","dans les 25 jours Net dû",								
"D35","0030","Net 30 jours",								
"D35","0035","Dans les 35 jours Net dû",								
"D35","0040","Dans les 40 jours Net dû",								
"D35","0045","Dans les 45 jours Net dû",								
"D35","0055","Dans les 55 jours Net dû",								
"D35","0060","dans les 60 jours Net dû",								
"D35","0065","dans les 65 jours Net dû",								
"D35","0070","dans les 70 jours Net dû",								
"D35","0075","dans les 75 jours Net dû",								
"D35","0080","Dans les 80 jours Net dû",								
"D35","0085","dans les 85 jours Net dû",								
"D35","0090","dans les 90 jours Net dû",								
"D35","0095","dans les 95 jours Net dû",								
"D35","0100","dans les 100 jours Net dû",								
"D35","0105","dans les 105 jours Net dû",								
"D35","0110","dans les 110 jours Net dû",								
"D35","0115","dans les 115 jours Net dû",								
"D35","0120","dans les 120 jours Net dû",								
"D35","0150","Dans les 150 jours",								
"D35","0180","dans les 180 jours Net dû",								
"D35","0210","Dans les 210 jours",								
"D35","0240","Dans les 240 jours",								
"D35","0270","Dans les 270 jours",								
"D35","02M2","dû le deuxième jour du deuxième mois",								
"D35","0300","Dans les 300 jours",								
"D35","0330","Dans les 330 jours",								
"D35","0360","Dans les 360 jours",								
"D35","0365","Dans les 365 jours",								
"D35","0390","Dans les 390 jours",								
"D35","0420","Dans les 420 jours",								
"D35","0450","Dans les 450 jours",								
"D35","0480","Dans les 480 jours",								
"D35","0510","Dans les 510 jours",								
"D35","0540","Dans les 540 jours",								
"D35","0570","Dans les 570 jours",								
"D35","0600","Dans les 600 jours",								
"D35","0630","Dans les 630 jours",								
"D35","0660","Dans les 660 jours",								
"D35","0690","Dans les 690 jours",								
"D35","0720","Dans les 720 jours",								
"D35","0750","Dans les 750 jours",								
"D35","0780","Dans les 780 jours",								
"D35","0810","Dans les 810 jours",								
"D35","0840","Dans les 840 jours",								
"D35","0870","Dans les 870 jours",								
"D35","0900","Dans les 900 jours",								
"D35","0930","Dans les 930 jours",								
"D35","0990","Dans les 990 jours",								
"D35","0999","Dans les 999 jours",								
"D35","1%14","dans les 14 jours 1 % d'escompte dans les 75 jours Net dû",								
"D35","1.5%","dans les 30 jours 1 % d'escompte dans les 40 jours Net dû",								
"D35","1440","dans les 10 jours 1 % d'escompte dans les 40 jours Net dû",								
"D35","150","dans les 14 jours 1 % d'escompte dans les 40 jours Net dû",								
"D35","15M2","dans les 15 jours 1 % d'escompte dans les 40 jours Net dû",								
"D35","15M3","dans les 10 jours 1 % d'escompte dans les 45 jours Net dû",								
"D35","1800","dans les 15 jours 1 % d'escompte dans les 30 jours Net dû",								
"D35","1A30","dans les 15 jours 1 % d'escompte dans les 45 jours Net dû",								
"D35","1X10","dans les 15 jours 1 % d'escompte dans les 60 jours Net dû",								
"D35","1X14","dans les 10 jours 2 % d'escompte dans les 60 jours Net dû",								
"D35","1X15","dans les 20 jours 2 % d'escompte dans les 60 jours Net dû",								
"D35","1X20","dans les 30 jours 2 % d'escompte dans les 60 jours Net dû",								
"D35","1X30","dans les 10 jours 2,5 % d'escompte dans les 30 jours Net dû",								
"D35","1X45","dans les 15 jours 2,5 % d'escompte dans les 40 jours Net dû",								
"D35","1Y30","dans les 20 jours 2 % d'escompte dans les 30 jours Net dû",								
"D35","1Y45","dans les 20 jours 2 % d'escompte dans les 40 jours Net dû",								
"D35","1Y60","dans les 30 jours 2 % d'escompte dans les 40 jours Net dû",								
"D35","1Z30","dans les 10 jours 2 % d'escompte dans les 40 jours Net dû",								
"D35","1Z45","dans les 15 jours 2 % d'escompte dans les 40 jours Net dû",								
"D35","2%10","dans les 20 jours 2 % d'escompte dans les 40 jours Net dû",								
"D35","2%20","dans les 10 jours 2 % d'escompte dans les 30 jours Net dû",								
"D35","2%30","dans les 10 jours 2 % d'escompte dans les 45 jours Net dû",								
"D35","2.5%","dans les 10 jours 2 % d'escompte dans les 90 jours Net dû",								
"D35","2515","dans les 15 jours 2 % d'escompte dans les 30 jours Net dû",								
"D35","2A20","dans les 10 jours 3 % d'escompte dans les 30 jours Net dû",								
"D35","2A30","dans les 30 jours 3 % d'escompte dans les 60 jours Net dû",								
"D35","2B30","dans les 10 jours 3 % d'escompte dans les 40 jours Net dû",								
"D35","2N15","dans les 14 jours 3 % d'escompte dans les 30 jours Net dû",								
"D35","2V30","dans les 15 jours 3 % d'escompte dans les 40 jours Net dû",								
"D35","2X10","dans les 30 jours 1 % d'escompte dans les 40 jours Net dû",								
"D35","2X15","dans les 10 jours 4 % d'escompte dans les 30 jours Net dû",								
"D35","2X20","dans les 5 jours 5 % d'escompte dans les 60 jours Net dû",								
"D35","2X30","dans les 10 jours 0,5 % d'escompte dans les 40 jours Net dû",								
"D35","2X45","dans les 10 jours 5 % d'escompte dans les 40 jours Net dû",								
"D35","2X90","dans les 10 jours 0,5 % d'escompte dans les 30 jours Net dû",								
"D35","2Y30","dans les 14 jours 6 % escompte dans les 40 jours Net dû",								
"D35","3%10","dans les 10 jours 0,5 % d'escompte dans les 40 jours Net dû",								
"D35","3%30","Payable en 2 montants partiels versement 1 : 50,000% avec modalités de paiement 00062 versement : 50,000% avec modalités de paiement 0030",								
"D35","3X10","Payable en 2 montants partiels versement 1 : 25,000 % avec modalités de paiement 00062 versement : 75,000 % avec modalités de paiement 0030",								
"D35","3X14","Payable en 2 montants partiels versement 1 : 40,000% avec modalités de paiement 00062 versement : 60,000 % avec modalités de paiement 0030",								
"D35","3X15","Payable en 2 montants partiels versement 1 : 20,000% avec modalités de paiement 00062 versement : 80,000 % avec modalités de paiement 0030",								
"D35","3Y30","Payable en 2 montants partiels versement 1 : 20,000 % avec modalités de paiement 0006",								
"D35","9999","Blocage automatique - autorisation manuelle",								
"D35","B162","30,000 % modalités de paiement 0006 	 70 % dûs dans 10 jours",							
"D35","D000","Paiement dû immédiatement",								
"D35","D101","5 % dûs immédiatement	 95 % dûs dans 30 jours",							
"D35","D102","5 % dûs immédiatement	 95 % dûs dans 60 jours",							
"D35","D103","10 % dûs immédiatement	 90 % dûs dans 30 jours",							
"D35","D104","10 % dûs immédiatement	 90 % dûs dans 60 jours",							
"D35","D105","15 % dûs immédiatement	 85 % dûs dans 30 jours",							
"D35","D106","15 % dûs immédiatement	 85 % dûs dans 60 jours",							
"D35","D107","20 % dûs immédiatement 	 80 % dûs dans 30 jours",							
"D35","D108","20 % dûs immédiatement	 80 % dûs dans 60 jours",							
"D35","D109","30 % dûs immédiatement	 70 % dûs dans 60 jours",							
"D35","D110","25 % dûs immédiatement	 75 % dûs dans 60 jours",							
"D35","D111","40 % dûs immédiatement	 60 % dûs dans 60 jours",							
"D35","D112","50 % dûs immédiatement	 50 % dûs dans 60 jours",							
"D35","D200","80 % dûs dans 30 jours	 20 % dûs dans 60 jours",							
"D35","D237","20 % dûs immédiatement 	 80 % dûs dans 35 jours",							
"D35","D239","30 % dûs immédiatement 	 70 % dûs dans 35 jours",							
"D35","D240","50 % dûs immédiatement	 50 % dûs dans 35 jours",							
"D35","D241","25 % dûs immédiatement 	 75 % dûs dans 35 jours",							
"D35","D309","40 % dûs immédiatement	 30 % dans 30 jours 	 30 % dans 60 jours",						
"D35","D317","50 % dûs immédiatement	 17 % dans 30 jours	 33 % dans 35 jours",						
"D35","D318","20 % dûs immédiatement	 50 % dans 15 jours 	 30 % dans 35 jours",						
"D35","D319","20 % dûs immédiatement	 20 % dans 15 jours 	 60 % dans 35 jours",						
"D35","D403","10 % dûs IMM.	 30 % 30J 	 30 % 60J 	 30 % 90J",					
"D35","D405","20 % dûs IMM.	 26,66 % 30J 	 26,67 % 60J 	 26,67 % 90J",					
"D35","D406","40 % dûs IMM.	 20 % 30J 	 20 % 60J 	 20 % 90J",					
"D35","D407","50 % dûs IMM.	 16,66 % 30J 	 16,66 % 60J 	 16,68 % 90J",					
"D35","D701","20 % dûs IMM.	13333%	13333%	13333%	13333%	13333%	13,3",		
"D35","IC00","Ultimo + 01 jour",								
"D35","IC01","Ultimo + 1 jour",								
"D35","IC15","Ultimo + 15 jours",								
"D35","IC30","Ultimo + 30 jours",								
"D35","IC60","Ultimo + 60 jours",								
"D35","IC90","Recouvrement ICC 15.M. + 3",								
"D35","ICUT","Ultimo (date échéance fixe 31)",								
"D35","Q045","ORBIAN dû 45 jours net",								
"D35","Q060","ORBIAN dû 60 jours net",								
"D35","Q090","ORBIAN dû 90 jours net",								
"D35","Z011","Payable en 2 montants partiels",								
"D35","Z012","Payable en 2 montants partiels",								
"D35","Z014","Payable en 3 montants partiels",								
"D35","Z015","Payable en 3 montants partiels",								
"D35","Z016","Payable en 3 montants partiels",								
"D35","Z021","Payable en 4 montants partiels",								
"D35","Z026","25%30 25%30 30%30 20%30",								
"D35","Z028","Payable en 3 versements 50%0006,40%30,10%60",								
"D35","Z029","Payable en 3 versements 40%0001,55%60,5%60",								
"D35","Z030","Payable en 4 versements 30%0001,10%60,20%60,40%60",								
"D35","Z031","Payable en 3 versements 30%0001,10%60,60%60",								
"D35","Z032","Payable en 3 versements 40%0001,20%60,40%60",								
"D35","Z033","Payable en 2 versements 20%0001,80%60",								
"D35","Z034","30 % dûs immédiatement	 70 % dûs dans 90 jours",							
"D35","Z035","50 % PAYABLES IMMÉDIATEMENT ET 50 % PAYABLES SUR LIVRAISON",								
"D35","Z036","Payable en 2 versements 20%0001,80%90",								
"D35","Z045","25 % chacun en 4 versements avec modalités de paiement 0045",								
"OPP","0001","payable immédiatement Net dû",								
"OPP","0002","14 jours 2 %, 30 jours net",								
"OPP","0003","14 jours 3 %, 20/2 %, 30 jours net",								
"OPP","0004","jusqu'au 30 du mois suivant Net dû",								
"OPP","0005","avant le 15 du mois suivant dû",								
"OPP","0006","prochain paiement après affichage",								
"OPP","0007","Dû 30e mois courant/15 mois suiv",								
"OPP","0008","immédiatement 2 %, 30 jours 1,5 %, 90 jours Net dû",								
"OPP","0009","3 % 10 jours ou net 55 (limite jour)",								
"OPP","0010","2 % d'escompte - Payé dans pochain paiem",								
"OPP","0011","7 jours Net dû",								
"OPP","0012","7 jours 1 %, 55 jours net",								
"OPP","0013","dans les 8 jours Net dû",								
"OPP","0014","8 jours 2 %, 14 jours net",								
"OPP","0015","8 jours 2 %, 30 jours net",								
"OPP","0016","8 jours 3 %, 14 jours 2 %, 30 jours",								
"OPP","0017","dans les 8 jours 3 %, 30 jours Net dû",								
"OPP","0018","dans les 10 jours Net dû",								
"OPP","0019","10 jours 1 %, 30 jours net",								
"OPP","0020","10 jours 2 %, 14 jours net",								
"OPP","0021","10 jours 2 %, 20 jours Net dû",								
"OPP","0022","10 jours 2 %, 30 jours Net dû",								
"OPP","0023","10 jours 2 %, 30 jours 1 %, 50 jours",								
"OPP","0024","10 jours 3 %",								
"OPP","0025","10 jours 3 %, 14 jours 2 %, 30 jours",								
"OPP","0026","10 jours 3 %, 30 jours net",								
"OPP","0027","10 jours 3 %, 30 jours 2 %",								
"OPP","0028","10 jours 3 %, 30 jours 2 %, 45 jours",								
"OPP","0029","10 jours 3 %, 30 jours 2 %, 90 jours net",								
"OPP","0030","10 jours 3 %, 60 jours net",								
"OPP","0031","13 jours Net dû",								
"OPP","0032","dans les 14 jours Net dû",								
"OPP","0033","14 jours 1 %, 30 jours net",								
"OPP","0034","14 jours 1 %, 45 jours net",								
"OPP","0035","14 jours 1,5 %, 30 jours net",								
"OPP","0036","dans les 14 jours 1,5 %, 30 jours 1 %, 90 jours Net dû",								
"OPP","0037","14 jours 2 %, 45 jours net",								
"OPP","0038","14 jours 2 %, 60 jours net",								
"OPP","0039","14 jours 2,5 %, 30 jours net",								
"OPP","0040","14 jours 3 %",								
"OPP","0041","14 jours 3 %, 30 jours net",								
"OPP","0042","14 jours 3 %, 30 jours 1 %, 60 jours",								
"OPP","0043","14 jours 3 %, 30 jours 2 %, 45 jours",								
"OPP","0044","14 jours 3 %, 30 jours 2 %",								
"OPP","0045","14 jours 3 %, 30 jours 2 %, 60 jours",								
"OPP","0046","dans les 14 jours 3 %, 30 jours 2 %, 90 jours Net dû",								
"OPP","0047","14 jours 3 %, 45 jours net",								
"OPP","0048","14 jours 3 %, 90 jours net",								
"OPP","0049","14 jours 4 %, 30 jours net",								
"OPP","0050","14 jours 4 %, 30 jours 2 %, 60 jours",								
"OPP","0051","dans les 15 jours Net dû",								
"OPP","0052","15 jours 1,5 %, 60 jours Net dû",								
"OPP","0053","dans les 15 jours 3 %, 30 jours 2 %, 60 jours Net dû",								
"OPP","0054","15 jours 3 %, 30 jours 2 %, 90 jours",								
"OPP","0055","TÉF net 15 jours + 3 jours",								
"OPP","0056","20 jours Net dû",								
"OPP","0057","20 jours 1,5 %, 30 jours Net dû",								
"OPP","0058","20 jours 2 %, 30 jours Net dû",								
"OPP","0059","20 jours 3 %, 30 jours 2 %, 40 jours",								
"OPP","0060","20 jours 3 %, 30 jours 2 %, 60 jours net",								
"OPP","0061","20 jours 3 %, 30 jours 2 %, net 90 jours",								
"OPP","0062","20 jours 3 %, 60 jours Net dû",								
"OPP","0063","dans les 21 jours Net dû",								
"OPP","0064","21 jours 3 %, 90 jours net",								
"OPP","0065","dans les 25 jours Net dû",								
"OPP","0066","dans les 30 jours Net dû",								
"OPP","0067","30 jours 1 % ou STD sans escompte",								
"OPP","0068","30 jours 2 %",								
"OPP","0069","30 jours 2 %, 45 jours net",								
"OPP","0070","30 jours 2 %, 60 jours net",								
"OPP","0071","30 jours 2 %, 90 jours net",								
"OPP","0072","30 jours 3 %, 45 jours 2 %, 60 jours",								
"OPP","0073","30 jours 3 %, 45 jours 2 %, 90 jours",								
"OPP","0074","30 jours 3 %, 60 jours net",								
"OPP","0075","30 jours 3 %, 60 jours 2 %, 90 jours",								
"OPP","0076","1,5 % sur les 25e/10e prochains jours ou net",								
"OPP","0077","30 jours 3 %, 90 jours net",								
"OPP","0078","30 jours 5 %, 60 jours 3 %, 90 jours",								
"OPP","0079","33 jours Net dû",								
"OPP","0080","dans les 45 jours Net dû",								
"OPP","0081","30 jours 2 %, 60 jours net",								
"OPP","0082","TÉF net 45 jours + 3 jours",								
"OPP","0083","TÉF net 30 jours + 3 jours",								
"OPP","0084","dans les 60 jours Net dû",								
"OPP","0085","60 jours 3 %, 90 jours net",								
"OPP","0086","dans les 90 jours Net dû",								
"OPP","0087","dans les 20 jours 3 % d'escompte dans les 30 jours Net dû",								
"OPP","0088","dans les 43 jours Net dû",								
"OPP","0090","Net 45 jours (limite jour 20, 31)",								
"OPP","0091","dans les 55 jours Net dû",								
"OPP","0092","dans les 58 jours Net dû",								
"OPP","0093","2 % /20 jours - net 55",								
"OPP","0094","1,5 % /20 jours - net 55",								
"OPP","0095","30 jours 1,5 %, 60 net",								
"OPP","0096","dans les 14 jours 3 % d'escompte",								
"OPP","0097","dans les 150 jours Net dû",								
"OPP","0098","Net avec la date d'échéance indiquée affichée (trésorerie uniquement)",								
"OPP","0099","Factures en suspens - dans les 365 jours Net dû",								
"OPP","0100","1/2 % 10 jours, net 30",								
"OPP","0101","Mod. spéciale net 3 du mois suivant",								
"OPP","0102","dans les 120 jours Net dû",								
"OPP","0103","Payable immédiatement Net dû",								
"OPP","0104","dans les 30 jours 1 % d'escompte dans les 60 jours Net dû",								
"OPP","0105","Pour les factures entrantes jusqu'au 10 du mois dans les 20 jours 1 % d'escompte Avant le 25 du mois suivant 		 Net dû",						
"OPP","0107","Pour les factures entrantes jusqu'au 15 du mois Avant le 30 du mois Net dû Pour les factures entrantes jusqu'à la fin du mois avant le 15 du mois Net dû",								
"OPP","0108","dans les 14 jours 2 %, 30 jours 1,5 %, 90 jours Net dû",								
"OPP","0109","Pour les factures entrantes jusqu'au 10 du mois dans les 10 jours 3 % d'escompte",								
"OPP","0110","dans les 180 jours Net dû",								
"OPP","0124","dans les 3 jours 10 % d'escompte",								
"OPP","0155","dans les 18 jours Net dû",								
"OPP","0167","dans les 30 jours 1 % d'escompte dans les 55 jours Net dû",								
"OPP","0172","Dans les 58 jours Net dû",								
"OPP","0175","75 jours suivant le premier 75 jours suivant le premier",								
"OPP","0176","Pour les factures entrantes jusqu'au 10 du mois Avant le 25 du mois 1,5 % d'escompte Avant le 5 du mois suivant 		 Net dû",						
"OPP","0182","dans les 48 jours Net dû",								
"OPP","0183","dans les 33 jours Net dû",								
"OPP","0184","5 jours Net dû",								
"OPP","0185","60 jours 1 %",								
"OPP","0186","14 jours 2 %, 60 jours 1 %",								
"OPP","0187","30 jours 2 %, 21 jours net",								
"OPP","0188","21 jours 3 %, 30 jours 2 %, 40 jours net",								
"OPP","0189","10 jours 3 %, 30 jours 2 %, 60 jours net",								
"OPP","0190","Pour les factures entrantes jusqu'au 20 du mois Avant 5 dans 2 mois Net dû Pour les factures entrantes jusqu'à la fin du mois",								
"OPP","0191","Pour les factures entrantes jusqu'au 10 du mois Avant 5 dans 2 mois Net dû",								
"OPP","0192","Pour les factures entrantes jusqu'au 10 du mois Avant le 8 du mois suivant 		 Net dû",						
"OPP","0193","Pour les factures entrantes jusqu'au 10 du mois dans les 20 jours 2 % d'escompte Avant le 25 du mois suivant 		 Net dû",						
"OPP","0194","Pour les factures entrantes jusqu'au 10 du mois dans les 20 jours 1,5 % d'escompte Avant le 25 du mois suivant 		 Net dû",						
"OPP","0195","Dans les 55 jours Net dû",								
"OPP","0196","30 jours 1 %, 45 jours 0,5 %, 60 jours",								
"OPP","0197","14 jours 2 %, 90 jours net",								
"OPP","0198","14 jours 2 %, 30 jours 1 %, 60 jours net",								
"OPP","0199","10 jours 2 %, 60 jours net",								
"OPP","C750","dans les 75 jours Net dû",								
"OPP","IC15","prélèvement automatique ICC fix 15. +1 mois",								
"OPP","IC30","Recouvr. ICC 30",								
"OPP","IC60","Recouvr. ICC 30",								
"OPP","IC75","Recouvr. ICC le 15 des 3e mois",								
"OPP","ICUT","Recouvr. ICC 31 du mois",								
"OPP","Q066","SCF ORBIAN dans les 30 jours Net dû",								
"OPP","Q080","SCF ORBIAN dans les 45 jours Net dû",								
"OPP","Q084","SCF ORBIAN dans les 60 jours Net dû",								
"OPP","Q086","SCF ORBIAN dans les 90 jours Net dû",								
"OPP","Q175","SCF ORBIAN 75 jours après premier SCF ORBIAN 75 jours après premier",								
"OPP","ZB31","60 jours net",								
"OPP","ZD34","1 % d'escompte 20 jours ou STD",								
"P03","E000","Net dû immédiatement à partir de la date d'entrée",								
"P03","E001","Net dû 30 jours à partir de la date d'entrée",								
"P03","E002","Net dû 60 jours à partir de la date d'entrée",								
"P03","I000","Net dû immédiatement à partir de la date de la facture",								
"P03","I001","Net dû 7 jours à partir de la date de la facture",								
"P03","I002","Net dû 14 jours à partir de la date de la facture",								
"P03","I003","Net dû 30 jours à partir de la date de la facture",								
"P03","I004","Net dû 30 jours, tous les 10 du mois",								
"P03","I006","Net dû 45 jours à partir de la date de la facture",								
"P03","I007","Net dû 60 jours à partir de la date de la facture",								
"P03","I008","Net dû 90 jours à partir de la date de la facture",								
"P03","I009","Net dû 120 jours à partir de la date de la facture",								
"P03","I011","Billets à recevoir dûs 20 jours",								
"P03","I022","Net dû 1 jour à partir de la date de la facture",								
"P03","I023","Net dû 20 jours à partir de la date de la facture",								
"P03","I024","Net dû 10 jours à partir de la date de la facture",								
"P03","I028","2 % 10 jours / net 30 jours",								
"P03","I030","Net dû 3 jours à partir de la date de la facture",								
"P03","I031","Net dû 8 jours à partir de la date de la facture",								
"P03","I033","Net dû 15 jours à partir de la date de la facture",								
"P03","I034","Net dû 5 jours à partir de la date de la facture",								
"P03","I036","Net dû 18 jours à partir de la date de la facture",								
"P03","I039","Net dû 75 jours à partir de la date de la facture",								
"P03","IC75","Recouvr. ICC 31e + 2 mo",								
"P03","IC99","Recouvr. ICC 31e + 4 mo",								
"P03","ICUT","ICC due à la fin du mois net",								
"P03","IT00","30 GG DF BB",								
"P03","IT01","30 GG FM DF BB",								
"P03","IT02","30 GG FM DF RB",								
"P03","IT03","60 GG DF BB",								
"P03","IT04","60 GG FM DF BB",								
"P03","IT05","60 GG FM DF RB",								
"P03","IT06","90 GG DF BB",								
"P03","IT07","90 GG FM DF BB",								
"P03","IT08","90 GG FM DF RB",								
"P03","IT17","45 GG DF BB",								
"P03","IT21","30 GG FM DF RD",								
"P03","IT22","60 GG DF RD",								
"P03","IT25","180 GG FM RD",								
"P03","IT28","BB A RIC. FATT.",								
"P03","IT32","120 GG FM DF BB",								
"P03","M","payable immédiatement Net dû",								
"P03","M000","Net dû 30 jours à compter de la fin du mois",								
"P03","M001","Net dû 30 jours, le 10e du mois suivant",								
"P03","M003","Net dû 60 jours à compter de la fin du mois",								
"P03","M006","Net dû 60 jours de la fin de mois, le 15 du mois suiv",								
"P03","M013","Net dû fin du mois suivant",								
"P03","M014","Net dû 45 jours à compter de la fin du mois",								
"P03","U001","US: dû immédiatement après réception",								
"P40","IC+4","ICC (fin du mois +120)",								
"P40","IC30","ICC (fin du mois +30)",								
"P40","IC60","ICC (fin du mois +60)",								
"P40","ICUT","ICC Modalités de paiement standard 31e",								
"P40","V001","Net 45 jours",								
"P40","V002","Payable immédiatement Net dû",								
"P40","V003","dans les 10 jours 2 % d'escompte dans les 30 jours Net dû",								
"P40","V004","Net 10 jours",								
"P40","V005","Net 15 jours",								
"P40","V006","Dans les 10 jours 1 %, net 30",								
"P40","V007","15ème jour du 3me mois suivant la fact.",								
"P40","V008","Net 30 jours",								
"P40","V009","Net 20 jours",								
"P40","V010","Net 60 jours",								
"P40","V011","Net 90 jours",								
"P40","V012","dans les 10 jours 3 % d'escompte dans les 45 jours Net dû",								
"P40","V013","2 % 10, net 45 jours",								
"P40","V014","Dans les 75 jours Net dû",								
"P40","V015","2 % 15, net 30 jours",								
"P40","V017","Net 7",								
"P40","V018","30 jours suivant le premier",								
"P40","V019","60 jours suivant le premier",								
"P40","V020","90 jours suivant le premier",								
"P40","V021","120 jours suivant le premier",								
"P40","V022","2 % de rabais de gros dans les 14 jours, net 90 jours",								
"P40","V023","3 % de rabais de gros dans les 14 jours, net 90 jours",								
"P40","V024","3 % de rabais de gros dans les 14 jours, net 30 jours",								
"P40","ZA30","Blocage de paiement A, net 30 jours",								
"P40","ZEDI","Interface EDI - Blocage de paiement",								
"P41","A980","SCF premier 15e jour après 30 jours à compter de la réception de la facture SCF premier 15e jour après 30 jours à compter de la réception de la facture",								
"P41","A981","SCF premier 15e jour après 60 jours à compter de la réception de la facture SCF premier 15e jour après 60 jours à compter de la réception de la facture",								
"P41","A982","SCF premier 15e jour après 90 jours à compter de la réception de la facture SCF premier 15e jour après 90 jours à compter de la réception de la facture",								
"P41","A983","SCF premier 15e jour après 120 jours à compter de la réception de la facture SCF premier 15e jour après 120 jours à compter de la réception de la facture",								
"P41","A984","SCF premier 15e jour après 150 jours à compter de la réception de la facture SCF premier 15e jour après 150 jours à compter de la réception de la facture",								
"P41","A985","SCF premier 15e jour après 180 jours à compter de la réception de la facture SCF premier 15e jour après 180 jours à compter de la réception de la facture",								
"P41","A990","SCF premier 15e jour après 360 jours à compter de la réception de la facture SCF premier 15e jour après 360 jours à compter de la réception de la facture",								
"P41","A995","SCF premier 15e jour après 270 jours à compter de la réception de la facture SCF premier 15e jour après 270 jours à compter de la réception de la facture",								
"P41","A996","SCF premier 15e jour après 75 jours à compter de la réception de la facture SCF premier 15e jour après 75 jours à compter de la réception de la facture",								
"P41","D401","Crédit fournisseur > 1 an (KfW => 15 jours => Chang. doc.)",								
"P41","D402","Crédit fournisseur y compris couv. Hermes (15 jours)",								
"P41","D403","Crédit acheteur",								
"P41","D404","Paiement différé L/C (45 jours)",								
"P41","IC+4","ICC (fin du mois +120)",								
"P41","IC15","ICC (fin du mois + 15)",								
"P41","IC30","ICC (fin du mois +30)",								
"P41","IC60","ICC (fin du mois +60)",								
"P41","IC90","ICC (fin du mois +90)",								
"P41","ICB6","15e jour du troisième mois",								
"P41","ICUT","ICC (fin du mois)",								
"P41","KFWR","Contrat-cadre (45 jours)",								
"P41","ORB1","Net 30 jours, dû le premier jour du mois suivant",								
"P41","ORB2","Net 45 jours, dû premier jour du mois suivant limite de 16 jours, net 45 jours, premier jour mois suivant, limite de 31 jours",								
"P41","ORB3","Net 60 jours, dû le premier jour du mois suivant",								
"P41","ORB4","Net 90 jours, dû le premier jour du mois suivant",								
"P41","ORB5","Net 120 jours, dû le premier jour du mois suivant",								
"P41","ORB6","Net 90 jours",								
"P41","ORB7","Net 60 jours",								
"P41","ORB8","Net 45 jours",								
"P41","ORB9","Net 180 jours",								
"P41","R001","Net 30 jours, seulement redevances!",								
"P41","VOR1","Net 30 jours, premier jour du mois suivant",								
"P41","VOR2","Net 45 jours, premier jour mois suivant, limite de 16 jours, net 45 jours, premier jour mois suivant, limite de 31 jours",								
"P41","VOR3","Net 60 jours, dû le premier jour du mois suivant",								
"P41","VOR4","Net 90 jours, dû le premier jour du mois suivant",								
"P41","VOR5","Net 120 jours, dû le premier jour du mois suivant",								
"P41","Y000","Payable immédiatement sans déduction",								
"P41","Y001","Payable le jour suivant la date de facturation",								
"P41","Y002","Dans les 8 jours sans déduction",								
"P41","Y003","Dans les 14 jours sans déduction",								
"P41","Y004","Dans les 21 jours Net dû",								
"P41","Y005","Dans les 30 jours sans déduction",								
"P41","Y006","Dans les 45 jours sans déduction",								
"P41","Y007","Dans les 60 jours sans déduction",								
"P41","Y008","Dans les 90 jours sans déduction",								
"P41","Y009","dans les 8 jours 5 % d'escompte, dans les 14 jours 3 % d'escompte - dans les 30 jours Net dû",								
"P41","Y010","dans les 8 jours 2 % d'escompte, dans les 14 jours Net dû",								
"P41","Y011","dans les 8 jours 2 % d'escompte - dans les 21 jours Net dû",								
"P41","Y012","dans les 8 jours 2 % d'escompte - dans les 20 jours Net dû",								
"P41","Y013","dans les 8 jours 2 % d'escompte - dans les 60 jours Net dû",								
"P41","Y014","dans les 8 jours 2 % d'escompte, dans 14 jours 1 % d'escompte, dans les 30 jours Net dû",								
"P41","Y015","dans les 8 jours 3 % d'escompte, dans les 14 jours Net dû",								
"P41","Y016","dans les 8 jours 3 % d'escompte, dans les 30 jours Net dû",								
"P41","Y017","dans les 8 jours 3 % d'escompte - dans les 14 jours 2 % d'escompte - dans les 30 jours Net dû",								
"P41","Y018","dans les 8 jours 4 % d'escompte - dans les 30 jours Net dû",								
